Country,Long,Lat,Paper,Range,,,,,,
Argentina,-67.7268,-49.3062,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.2008,-47.9591,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.1421,-47.8575,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.7771,-47.5117,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.9270,-46.5907,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6339,-46.5473,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.5000,-45.8679,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.2586,-45.6886,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.7639,-45.6314,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.9993,-45.5825,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-69.9765,-45.3058,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.8177,-45.0436,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4876,-44.9274,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3507,-44.2172,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6254,-43.9920,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.4118,-43.8853,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.7500,-43.8000,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5833,-43.7833,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.2803,-43.7146,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6915,-43.5768,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4632,-43.5465,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.8108,-43.4928,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.0440,-43.3170,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3824,-43.3118,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.7152,-43.3047,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.0995,-43.2999,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.4922,-43.2896,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.4916,-43.2885,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.3074,-43.2491,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5573,-43.1368,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4642,-43.0793,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6333,-43.0167,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3081,-42.9067,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.2996,-42.8977,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.7089,-42.8356,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5291,-42.8141,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.1833,-42.7667,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.0493,-42.7544,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-69.6050,-42.7411,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.4993,-42.7011,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6733,-42.6122,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4477,-42.5122,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.0513,-42.3825,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.6217,-42.2768,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4970,-42.0822,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5995,-42.0631,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.1749,-42.0529,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5155,-41.9663,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.9003,-41.8497,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5813,-41.5176,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.6750,-41.4596,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5950,-41.3500,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.7540,-41.3350,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-69.5493,-41.3285,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.6997,-41.2460,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4140,-41.1780,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.2510,-41.1720,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.3630,-41.1560,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.3013,-41.1493,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3760,-41.1440,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.3150,-41.1410,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.4130,-41.1380,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.3103,-41.1335,"Sackmann et al. (2000) Arthropod prey foraged by the German wasp (Vespula germanica) in NW Patagonia, Argentina. New Zealand Entomologist 23: 55–59",Invaded,,,,,,
Argentina,-71.4140,-41.1330,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.4140,-41.1330,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-70.7217,-41.1273,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.1500,-41.1167,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5680,-41.0750,Brenton-Rule et al. (In Press) The origins of global invasions of the German wasp (Vespula germanica) and its infection with four honey bee viruses. Biological  Invasions. ,Invaded,,,,,,
Argentina,-71.1583,-41.0728,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5333,-41.0500,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.2740,-41.0339,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.8167,-41.0333,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5000,-41.0000,"Pereira et al (2016) Foraging Behavior Interactions Between Two non-Native Social Wasps, Vespula germanica and V. vulgaris (Hymenoptera: Vespidae): Implications for Invasion Success? Journal of Insect Science (2016) 16(1): 78; 1–6",Invaded,,,,,,
Argentina,-71.5500,-40.9333,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.4911,-40.9147,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.0890,-40.8479,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6281,-40.8319,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-62.9962,-40.8118,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-62.9726,-40.8031,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6461,-40.7634,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.6942,-40.7475,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.1773,-40.6819,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.7563,-40.6276,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3500,-40.4833,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5101,-40.4618,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5219,-40.3554,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4385,-40.1588,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3580,-40.1573,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.7118,-40.1542,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.6438,-40.1361,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.2999,-40.1288,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5786,-40.1223,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-64.4579,-40.1037,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.0748,-40.0479,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4359,-40.0322,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4507,-39.8634,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.3665,-39.7750,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.5872,-39.7166,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.4477,-39.5264,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-69.2861,-39.5185,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.2074,-39.3682,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.7638,-39.3151,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-71.1952,-39.2417,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.9225,-39.2350,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-65.9545,-39.1863,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-66.1487,-39.1663,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.0878,-39.1003,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.1559,-39.0781,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.2383,-39.0703,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.3037,-39.0646,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.3898,-39.0521,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.5752,-39.0268,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.4260,-39.0124,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.8323,-38.9658,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.2312,-38.9535,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.9167,-38.9500,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.0660,-38.9490,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-69.2331,-38.9328,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-67.9834,-38.9328,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-69.1988,-38.9308,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.0653,-38.9024,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.0672,-38.8265,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.4946,-38.7708,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-68.3312,-38.5659,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-70.3609,-38.5251,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
