Country,Long,Lat,Paper,Range
New Zealand,171.1414,-44.6323,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,171.5657,-42.9454,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,170.9665,-42.7174,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,172.8513,-41.8080,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,172.8457,-41.8031,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,172.8457,-41.8031,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,171.7911,-41.6818,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,174.7762,-41.2865,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.7762,-41.2865,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.9086,-41.2780,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.9229,-41.1943,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,175.1711,-41.0514,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,175.1711,-41.0514,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,175.1711,-41.0514,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,175.1711,-41.0514,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,176.2167,-40.9000,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.9141,-40.8519,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,176.0831,-38.6831,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,175.3128,-38.0059,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,176.9908,-37.9534,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,174.5667,-35.8500,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.5667,-35.8500,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.3237,-35.7251,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,174.3239,-35.7251,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Austria,15.4395,47.0707,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Austria,14.0352,48.5849,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Austria,13.8543,48.7082,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.3905,50.6966,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Belgium,4.3905,50.6966,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Belgium,4.9853,50.7971,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.9853,50.7971,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.6714,50.8425,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.6589,50.8853,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.6589,50.8853,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.6589,50.8853,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Belgium,4.9853,50.9265,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
China,101.9731,30.0564,Yamane et al. (1980) A tentative revision of the subgenus Paravespula of eastern Asia (Hymenoptera: Vespidae). Insecta matsumurana 19: 1-46,Native
China,111.6707,35.3023,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Czech Republic,15.9867,48.7985,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.9203,48.8448,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.9203,48.8448,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,13.4953,49.0233,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Czech Republic,16.4679,49.1060,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.1902,49.1141,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,16.2445,49.1243,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,16.5514,49.1413,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,16.5455,49.1610,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,16.4517,49.1699,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.4517,49.1699,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.6068,49.1951,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,5.7156,49.1972,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.5260,49.2288,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,14.6266,49.2297,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.7372,49.2542,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.7372,49.2542,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,16.7347,49.3733,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,15.5722,49.4653,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.5722,49.4653,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,18.7194,49.5856,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,12.6737,49.6749,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,17.1669,49.7024,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,17.1413,49.7133,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,17.0138,49.7214,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,17.0138,49.7214,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.4849,49.7560,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,18.2338,49.7771,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.1974,49.7823,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.1974,49.7823,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,18.2625,49.8209,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.2975,49.8572,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.2989,49.8600,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,12.7012,49.9646,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Czech Republic,12.7012,49.9646,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Czech Republic,12.7012,49.9646,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Czech Republic,13.9643,49.9775,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.3617,49.9832,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,17.0908,50.0117,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,14.4378,50.0755,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.8252,50.2104,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.8252,50.2104,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.9955,50.2117,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae: Vespinae) from the Czech Republic and Slovakia in the collections of the Moravian Museum, Brno. Acta Musei Moraviae, Scientiae biologicae (Brno) 91: 149-157",Native
Czech Republic,14.4789,50.4744,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Czech Republic,15.3653,50.7593,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,15.3653,50.7593,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Czech Republic,14.0667,50.7667,"Kula & Tyrner (2003) Hymenoptera (Aculeata) of spruce stands in the air-pollution region of Northern Bohemia. JOURNAL OF FOREST SCIENCE, 49, 2003 (5): 200–207",Native
Estonia,25.5001,58.8867,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Estonia,25.5001,58.8867,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Estonia,26.0257,58.9645,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Estonia,26.2698,59.0422,"Dvorak (2006) Social wasps (Hymenoptera: Vespidae) trapped with beer in European forest ecosystems. Acta Musei Moraviae, Scientiae biologicae (Brno) 92: 181-204, 2007",Native
Finland,24.9384,60.1699,"Pekkarinen & Hulden (1995) Distribution and phenology of the Vespinae and Polistinae species in eastern
Fennoscandia (Hymenoptera: Vespidae). Sahlbergia Vo!. 2:99-111",Native
Finland,25.0171,60.1970,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Native
Finland,22.2666,60.4518,Sorvari (2013Social wasp (Hymenoptera: Vespidae) beer trapping in Finland 2008–2012: a German surprise. Entomologica Fennica 24: 156-164,Native
Finland,22.2666,60.4518,"Pekkarinen & Hulden (1995) Distribution and phenology of the Vespinae and Polistinae species in eastern
Fennoscandia (Hymenoptera: Vespidae). Sahlbergia Vo!. 2:99-111",Native
Finland,29.7636,62.6010,"Pekkarinen & Hulden (1995) Distribution and phenology of the Vespinae and Polistinae species in eastern
Fennoscandia (Hymenoptera: Vespidae). Sahlbergia Vo!. 2:99-111",Native
Finland,27.6782,62.8980,Sorvari (2013Social wasp (Hymenoptera: Vespidae) beer trapping in Finland 2008–2012: a German surprise. Entomologica Fennica 24: 156-164,Native
Finland,25.4651,65.0121,"Pekkarinen & Hulden (1995) Distribution and phenology of the Vespinae and Polistinae species in eastern
Fennoscandia (Hymenoptera: Vespidae). Sahlbergia Vo!. 2:99-111",Native
Finland,32.8920,67.9431,"Pekkarinen & Hulden (1995) Distribution and phenology of the Vespinae and Polistinae species in eastern
Fennoscandia (Hymenoptera: Vespidae). Sahlbergia Vo!. 2:99-111",Native
